mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__lr,param_model__module__dropout,param_model__module__hidden_dim,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
33.39663691520691,4.410022339103778,0.27466282844543455,0.08069236233764626,256,0.0005,0.1,128,48,"OrderedDict([('model__batch_size', 256), ('model__lr', 0.0005), ('model__module__dropout', 0.1), ('model__module__hidden_dim', 128), ('select__k', 48)])",0.603603037754478,0.7868505119327838,0.7262764063960341,0.7996167310352543,0.730470468887688,0.7293634312012477,0.0693782709543478,51
24.767536687850953,0.8103078553886202,0.22410907745361328,0.06738213568552207,512,0.004890501569231456,0.2898918007728116,256,32,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.004890501569231456), ('model__module__dropout', 0.2898918007728116), ('model__module__hidden_dim', 256), ('select__k', 32)])",0.6045414394156877,0.8521003418771009,0.6936844713996123,0.7794680759901897,0.6903187303132288,0.7240226117991639,0.08462884778315966,53
32.934162330627444,0.6542579901971762,0.24612183570861818,0.05771569945910854,512,0.0005191396741886485,0.10839834390375461,128,64,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.0005191396741886485), ('model__module__dropout', 0.10839834390375461), ('model__module__hidden_dim', 128), ('select__k', 64)])",0.604574010063423,0.8355072481137326,0.7429233324310297,0.7903833759949626,0.8683235424981681,0.7683423018202632,0.09215135901183084,21
55.43219432830811,4.984808605235419,0.34809489250183107,0.12309436041889381,128,0.0005,0.1,128,64,"OrderedDict([('model__batch_size', 128), ('model__lr', 0.0005), ('model__module__dropout', 0.1), ('model__module__hidden_dim', 128), ('select__k', 64)])",0.6038274796496459,0.8465425254508236,0.6902098333185476,0.9799616154948113,0.7117185108825507,0.7664519929592759,0.1321031457658492,24
25.398888874053956,0.06424735296163972,0.19804024696350098,0.01636820848074513,512,0.004999999999999999,0.3,256,48,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.004999999999999999), ('model__module__dropout', 0.3), ('model__module__hidden_dim', 256), ('select__k', 48)])",0.5984403949683103,0.8376291453636565,0.6928904997888771,0.855078507558693,0.6907906152289588,0.7349658325816991,0.09729109831306346,49
48.7151397228241,5.264485602713256,0.31790895462036134,0.0763623546043406,128,0.004934664019641041,0.10579394496693934,256,64,"OrderedDict([('model__batch_size', 128), ('model__lr', 0.004934664019641041), ('model__module__dropout', 0.10579394496693934), ('model__module__hidden_dim', 256), ('select__k', 64)])",0.606435925043804,0.859744523639011,0.6884173449359933,0.9902551154751336,0.8919687447905084,0.8073643307768901,0.13990799853723457,7
47.03441596031189,2.276909650604414,0.364185094833374,0.11341944782330333,128,0.004999999999999999,0.1,256,64,"OrderedDict([('model__batch_size', 128), ('model__lr', 0.004999999999999999), ('model__module__dropout', 0.1), ('model__module__hidden_dim', 256), ('select__k', 64)])",0.606840051827652,0.8276251700166696,0.7029863077695008,0.9595156168670713,0.7536258413537281,0.7701185975669242,0.11884180715083634,20
37.80675592422485,8.66132749100781,0.23690228462219237,0.05159529448075415,256,0.0005498635053157664,0.29340577818965075,256,64,"OrderedDict([('model__batch_size', 256), ('model__lr', 0.0005498635053157664), ('model__module__dropout', 0.29340577818965075), ('model__module__hidden_dim', 256), ('select__k', 64)])",0.6033485873261093,0.8034391652743466,0.6940165191487497,0.800149690558375,0.8123647494216799,0.7426637423458521,0.08201436630783475,45
46.668115329742434,6.839239816972923,0.2713470935821533,0.061987970117759354,128,0.004960685432201049,0.11021801335187249,256,16,"OrderedDict([('model__batch_size', 128), ('model__lr', 0.004960685432201049), ('model__module__dropout', 0.11021801335187249), ('model__module__hidden_dim', 256), ('select__k', 16)])",0.6054780364320047,0.76159935920631,0.6879223774002632,0.7811482746618142,0.7484010763639938,0.7169098248128771,0.06383219785783742,56
27.016962242126464,0.13668036016052523,0.1913904666900635,0.028339644873976784,512,0.0005757523758053863,0.10570904762166154,128,16,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.0005757523758053863), ('model__module__dropout', 0.10570904762166154), ('model__module__hidden_dim', 128), ('select__k', 16)])",0.6021730488885702,0.724753378824294,0.6990528043585182,0.8954650329968838,0.8006396466927115,0.7444167823521954,0.09864522709675869,42
